EntryPoint;bytes_on_last_page;pages_in_file;relocations;size_of_header;min_extra_paragraphs;max_extra_paragraphs;init_ss_value;init_sp_value;init_ip_value;init_cs_value;over_lay_number;SizeOfCode;SizeOfInitializedData;SizeOfUninitializedData;AddressOfEntryPoint;BaseOfCode;BaseOfData;ImageBase;SectionAlignment;FileAlignment;SizeOfImage;SizeOfHeaders;Checksum;SizeofStackReserve;SizeofStackCommit;SizeofHeapCommit;SizeofHeapReserve;LoaderFlags;text_VirtualSize;text_VirtualAddress;text_SizeOfRawData;text_PointerToRawData;rdata_VirtualSize;rdata_VirtualAddress;rdata_SizeOfRawData;rdata_PointerToRawData;registry_read;registry_write;registry_delete;network_dns;network_http;network_connections;processes_malicious;processes_suspicious;processes_monitored;files_malicious;files_suspicious;files_text;files_unknown;dlls_calls;apis;MachineType_AMD64;MachineType_Intel386;Subsystem_IMAGE_SUBSYSTEM_NATIVE;Subsystem_IMAGE_SUBSYSTEM_UNKNOWN;Subsystem_IMAGE_SUBSYSTEM_WINDOWS_CUI;Subsystem_IMAGE_SUBSYSTEM_WINDOWS_GUI;PEType_PE32;PEType_PE32+;DllCharacteristics_0;DllCharacteristics_IMAGE_DLLCHARACTERISTICS_APPCONTAINER;DllCharacteristics_IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE;DllCharacteristics_IMAGE_DLLCHARACTERISTICS_FORCE_INTEGRITY;DllCharacteristics_IMAGE_DLLCHARACTERISTICS_GUARD_CF;DllCharacteristics_IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA;DllCharacteristics_IMAGE_DLLCHARACTERISTICS_NO_BIND;DllCharacteristics_IMAGE_DLLCHARACTERISTICS_NO_ISOLATION;DllCharacteristics_IMAGE_DLLCHARACTERISTICS_NO_SEH;DllCharacteristics_IMAGE_DLLCHARACTERISTICS_NX_COMPAT;DllCharacteristics_IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE;DllCharacteristics_IMAGE_LIBRARY_PROCESS_INIT;DllCharacteristics_IMAGE_LIBRARY_PROCESS_TERM;DllCharacteristics_IMAGE_LIBRARY_THREAD_INIT;text_Characteristics_0;text_Characteristics_IMAGE_SCN_ALIGN_1024BYTES;text_Characteristics_IMAGE_SCN_ALIGN_128BYTES;text_Characteristics_IMAGE_SCN_ALIGN_16BYTES;text_Characteristics_IMAGE_SCN_ALIGN_1BYTES;text_Characteristics_IMAGE_SCN_ALIGN_2048BYTES;text_Characteristics_IMAGE_SCN_ALIGN_256BYTES;text_Characteristics_IMAGE_SCN_ALIGN_2BYTES;text_Characteristics_IMAGE_SCN_ALIGN_32BYTES;text_Characteristics_IMAGE_SCN_ALIGN_4096BYTES;text_Characteristics_IMAGE_SCN_ALIGN_4BYTES;text_Characteristics_IMAGE_SCN_ALIGN_512BYTES;text_Characteristics_IMAGE_SCN_ALIGN_64BYTES;text_Characteristics_IMAGE_SCN_ALIGN_8192BYTES;text_Characteristics_IMAGE_SCN_ALIGN_8BYTES;text_Characteristics_IMAGE_SCN_ALIGN_MASK;text_Characteristics_IMAGE_SCN_CNT_CODE;text_Characteristics_IMAGE_SCN_CNT_INITIALIZED_DATA;text_Characteristics_IMAGE_SCN_CNT_UNINITIALIZED_DATA;text_Characteristics_IMAGE_SCN_GPREL;text_Characteristics_IMAGE_SCN_LNK_COMDAT;text_Characteristics_IMAGE_SCN_LNK_INFO;text_Characteristics_IMAGE_SCN_LNK_OTHER;text_Characteristics_IMAGE_SCN_LNK_REMOVE;text_Characteristics_IMAGE_SCN_MEM_EXECUTE;text_Characteristics_IMAGE_SCN_MEM_LOCKED;text_Characteristics_IMAGE_SCN_MEM_NOT_PAGED;text_Characteristics_IMAGE_SCN_MEM_PRELOAD;text_Characteristics_IMAGE_SCN_MEM_PURGEABLE;text_Characteristics_IMAGE_SCN_MEM_READ;text_Characteristics_IMAGE_SCN_MEM_SHARED;text_Characteristics_IMAGE_SCN_MEM_WRITE;text_Characteristics_IMAGE_SCN_NO_DEFER_SPEC_EXC;text_Characteristics_IMAGE_SCN_TYPE_DSECT;text_Characteristics_IMAGE_SCN_TYPE_GROUP;text_Characteristics_IMAGE_SCN_TYPE_NOLOAD;text_Characteristics_IMAGE_SCN_TYPE_NO_PAD;text_Characteristics_IMAGE_SCN_TYPE_OVER;rdata_Characteristics_0;rdata_Characteristics_IMAGE_SCN_ALIGN_1024BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_128BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_16BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_1BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_2048BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_256BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_2BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_32BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_4096BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_4BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_512BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_64BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_8192BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_8BYTES;rdata_Characteristics_IMAGE_SCN_ALIGN_MASK;rdata_Characteristics_IMAGE_SCN_CNT_CODE;rdata_Characteristics_IMAGE_SCN_CNT_INITIALIZED_DATA;rdata_Characteristics_IMAGE_SCN_CNT_UNINITIALIZED_DATA;rdata_Characteristics_IMAGE_SCN_GPREL;rdata_Characteristics_IMAGE_SCN_LNK_COMDAT;rdata_Characteristics_IMAGE_SCN_LNK_INFO;rdata_Characteristics_IMAGE_SCN_LNK_OTHER;rdata_Characteristics_IMAGE_SCN_LNK_REMOVE;rdata_Characteristics_IMAGE_SCN_MEM_EXECUTE;rdata_Characteristics_IMAGE_SCN_MEM_LOCKED;rdata_Characteristics_IMAGE_SCN_MEM_NOT_PAGED;rdata_Characteristics_IMAGE_SCN_MEM_PRELOAD;rdata_Characteristics_IMAGE_SCN_MEM_PURGEABLE;rdata_Characteristics_IMAGE_SCN_MEM_READ;rdata_Characteristics_IMAGE_SCN_MEM_SHARED;rdata_Characteristics_IMAGE_SCN_MEM_WRITE;rdata_Characteristics_IMAGE_SCN_NO_DEFER_SPEC_EXC;rdata_Characteristics_IMAGE_SCN_TYPE_COPY;rdata_Characteristics_IMAGE_SCN_TYPE_DSECT;rdata_Characteristics_IMAGE_SCN_TYPE_GROUP;rdata_Characteristics_IMAGE_SCN_TYPE_NOLOAD;rdata_Characteristics_IMAGE_SCN_TYPE_NO_PAD;rdata_Characteristics_IMAGE_SCN_TYPE_OVER
678200;1440;30;0;40;0;655350;0;1840;0;0;0;701440;537600;0;678200;40960;163840;53687091200;40960;5120;1392640;10240;1251360;10485760;40960;40960;10485760;0;701420;40960;701440;10240;315080;778240;317440;711680;0;0;0;0;0;0;0;0;0;0;0;0;0;60;1620;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
24779800;1440;30;0;40;0;655350;0;1840;0;0;0;35271680;16476160;0;24779800;40960;163840;53687091200;40960;5120;53288960;10240;52024950;10485760;40960;40960;10485760;0;35269880;40960;35271680;10240;12430140;35348480;12431360;35281920;50;0;0;20;10;10;0;0;20;0;0;0;0;220;7780;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
108780;1440;30;0;40;0;655350;0;1840;0;0;0;30720;20480;0;108780;81920;163840;41943040;81920;5120;327680;5120;0;10485760;40960;40960;10485760;0;26920;81920;30720;5120;12430140;35348480;12431360;35281920;580;0;0;0;0;0;0;0;10;0;0;0;0;10;10;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
4128320;1440;30;40;0;0;655350;0;1390;0;0;0;22400000;3302400;0;4128320;40960;163840;41943040;40960;5120;71843840;15360;0;20971520;40960;40960;10485760;0;22398690;40960;22400000;15360;21812800;22446080;21816320;22415360;0;0;0;0;0;0;0;0;0;0;0;0;0;10;400;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
1130700;1440;30;0;40;0;655350;0;1840;0;0;0;1049600;25600;0;1130700;81920;0;41943040;81920;5120;1310720;5120;0;10485760;40960;40960;10485760;0;1048840;81920;1049600;5120;194480;1228800;204800;1228800;2530;0;0;0;0;0;0;0;10;0;0;0;0;10;10;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
5200;1440;30;0;40;0;655350;0;1840;0;0;0;5120;61440;0;5200;5120;10240;41943040;5120;5120;71680;5120;340220;10485760;40960;40960;10485760;0;1040;5120;5120;5120;194480;1228800;204800;1228800;10;0;0;0;0;0;0;0;10;0;0;0;0;10;10;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2211840;1440;30;0;40;0;655350;0;1840;0;0;0;1658880;445440;0;2211840;2211840;1720320;41943040;40960;5120;2252800;10240;2286420;10485760;40960;40960;10485760;0;10240;2211840;10240;2083840;264600;1720320;266240;1669120;90;0;0;0;0;0;0;0;10;0;0;0;0;150;2060;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
408840;1280;10;0;40;0;655350;0;1840;0;0;0;716800;179200;92160;408840;40960;778240;41943040;40960;5120;1269760;10240;0;655360;655360;40960;81920;0;10240;2211840;10240;2083840;264600;1720320;266240;1669120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
224660;1440;30;0;40;0;655350;0;1840;0;0;0;670720;399360;0;224660;40960;737280;41943040;40960;5120;1269760;10240;0;10485760;40960;40960;10485760;0;669220;40960;670720;10240;248100;737280;250880;680960;2440;0;0;0;0;40;0;0;20;0;0;0;0;60;1170;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
46740;1440;30;0;40;0;655350;0;1840;0;0;0;424960;5975040;0;46740;40960;491520;41943040;40960;5120;6594560;10240;0;10485760;40960;40960;10485760;0;420870;40960;424960;10240;224140;491520;225280;435200;0;0;0;0;0;0;0;0;10;0;0;0;0;20;640;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
